TIME,CH2,,,Model,MSO4054
-1.85E+00,1.44,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.52,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.52,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.52,,,,
-1.84E+00,1.44,,,,
-1.84E+00,1.6,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.44,,,,
-1.84E+00,1.68,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.6,,,,
-1.84E+00,1.44,,,,
-1.84E+00,1.68,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.44,,,,
-1.84E+00,1.6,,,,
-1.84E+00,1.68,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.36,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.68,,,,
-1.84E+00,1.6,,,,
-1.84E+00,1.44,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.68,,,,
-1.84E+00,1.52,,,,
-1.84E+00,1.6,,,,
-1.84E+00,1.6,,,,
-1.83E+00,1.52,,,,
-1.83E+00,1.52,,,,
-1.83E+00,1.68,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.52,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.36,,,,
-1.83E+00,1.44,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.52,,,,
-1.83E+00,1.52,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.36,,,,
-1.83E+00,1.6,,,,
-1.83E+00,1.52,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.68,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.36,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.68,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.76,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.68,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.6,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.52,,,,
-1.82E+00,1.44,,,,
-1.82E+00,1.6,,,,
-1.82E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.6,,,,
-1.81E+00,1.68,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.44,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.6,,,,
-1.81E+00,1.68,,,,
-1.81E+00,1.36,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.44,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.68,,,,
-1.81E+00,1.44,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.6,,,,
-1.81E+00,1.68,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.52,,,,
-1.81E+00,1.44,,,,
-1.81E+00,1.6,,,,
-1.80E+00,1.36,,,,
-1.80E+00,1.68,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.44,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.44,,,,
-1.80E+00,1.44,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.36,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.52,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.44,,,,
-1.80E+00,1.44,,,,
-1.80E+00,1.6,,,,
-1.80E+00,1.52,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.44,,,,
-1.79E+00,1.68,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.36,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.36,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.52,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.44,,,,
-1.79E+00,1.44,,,,
-1.79E+00,1.44,,,,
-1.79E+00,1.6,,,,
-1.79E+00,1.44,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.44,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.28,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.36,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.44,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.52,,,,
-1.78E+00,1.6,,,,
-1.78E+00,1.44,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.44,,,,
-1.77E+00,1.28,,,,
-1.77E+00,1.44,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.36,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.68,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.44,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.36,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.6,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.44,,,,
-1.77E+00,1.52,,,,
-1.77E+00,1.52,,,,
-1.76E+00,1.68,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.44,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.44,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.76,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.36,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.36,,,,
-1.76E+00,1.44,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.6,,,,
-1.76E+00,1.52,,,,
-1.76E+00,1.6,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.36,,,,
-1.75E+00,1.44,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.44,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.36,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.52,,,,
-1.75E+00,1.28,,,,
-1.75E+00,1.6,,,,
-1.75E+00,1.68,,,,
-1.75E+00,1.44,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.44,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.28,,,,
-1.74E+00,1.44,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.44,,,,
-1.74E+00,1.68,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.44,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.52,,,,
-1.74E+00,1.36,,,,
-1.74E+00,1.36,,,,
-1.74E+00,1.6,,,,
-1.74E+00,1.68,,,,
-1.73E+00,1.6,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.6,,,,
-1.73E+00,1.68,,,,
-1.73E+00,1.68,,,,
-1.73E+00,1.52,,,,
